index,geometry
431,POINT (120477.9507563763 487893.8189562924)
432,POINT (121406.8882646345 485717.9144825837)
433,POINT (120466.206880381 488248.5004194531)
434,POINT (120863.0168495423 488016.6630478593)
435,POINT (120853.639813224 488015.7729356675)
436,POINT (120726.7226026781 488315.0849674006)
437,POINT (120944.3082962807 488127.213340198)
438,POINT (121160.3526944343 488675.1024852297)
439,POINT (121168.9869103426 488669.5622031098)
440,POINT (120810.9503823026 488920.8350282462)
441,POINT (123433.5062890823 486428.6637109919)
442,POINT (123014.0435158825 487037.1528160519)
443,POINT (122988.1388484672 487053.6167173263)
444,POINT (123521.5731764912 486514.559757118)
445,POINT (123063.0697162816 487273.7814863169)
446,POINT (122061.3716713956 486853.1799236602)
447,POINT (122041.5647887408 486864.060528908)
448,POINT (122777.8290065742 486930.1669957932)
449,POINT (122691.6576047874 486980.2104531797)
450,POINT (123323.3769568188 487353.7051591457)
451,POINT (122131.9663386907 486880.3561270572)
452,POINT (122117.9574287462 486869.2380385566)
453,POINT (122108.9442556848 486865.9061218908)
454,POINT (123964.3588762469 486714.9114654065)
455,POINT (123904.354026295 486711.985958662)
456,POINT (123946.0989475859 486714.4539280573)
457,POINT (122358.8922091261 487297.0299006292)
458,POINT (122976.4738076037 487198.4240192013)
459,POINT (123517.0463849668 486510.1360705804)
460,POINT (122179.7851230609 486542.3040716645)
461,POINT (123834.8548756723 486639.5234444907)
462,POINT (123701.2540319073 486638.4149476807)
463,POINT (123861.0061180021 486637.9453041646)
464,POINT (123737.4348408737 486638.2208544073)
465,POINT (123916.7687312672 486638.6228100147)
466,POINT (123766.455949882 486636.7220440477)
467,POINT (123910.0950328218 486638.9181778315)
468,POINT (123763.2345344877 486637.1978779905)
469,POINT (123719.665497535 486638.5806123604)
470,POINT (123752.5286677722 486638.7284188677)
471,POINT (123566.4983083731 486640.0479240585)
472,POINT (123703.5244987407 486707.5299079888)
473,POINT (123683.0150583374 486707.1186655327)
474,POINT (122461.9175198077 486867.7382092178)
475,POINT (123866.4576066454 486710.8706218463)
476,POINT (123877.0057064343 486713.6616224207)
477,POINT (121890.5581276598 486033.0768816278)
478,POINT (120742.7495045616 488377.849140419)
479,POINT (120742.5130728859 488378.1135241668)
480,POINT (120542.9971184079 488096.9218811507)
481,POINT (120535.1561153743 488096.7341017756)
482,POINT (120615.8902925675 488113.5468374005)
483,POINT (120611.8597217896 488116.7933116668)
484,POINT (120586.1135888182 488106.9858803694)
485,POINT (120550.7508013329 488101.8076483983)
486,POINT (120619.3290074686 488116.3631481058)
487,POINT (120527.2832944972 488094.4566645731)
488,POINT (120601.1225809217 488109.9432632285)
489,POINT (120598.0811981908 488112.1303298706)
490,POINT (120599.1885519167 488113.8579765215)
491,POINT (120520.0854970418 488090.8725774953)
492,POINT (120530.2711843739 488097.3261353116)
493,POINT (120588.4738257438 488109.4341131596)
494,POINT (120594.0861382711 488112.2567234876)
495,POINT (120563.9366421004 488105.4350885889)
496,POINT (120537.9886313229 488096.8446278492)
497,POINT (120551.4551187201 488101.7680010354)
498,POINT (120517.3436728457 488090.5007951537)
499,POINT (120524.7806886712 488092.7029581025)
500,POINT (120792.1464939708 488848.6476980521)
501,POINT (121133.9155900539 488479.9826765032)
